MUNIC,PARTY,VOTERS,VOTES
WC011,DA,26630,16384
WC012,ANC,21058,13038
WC013,DA,23213,15105
WC014,DA,47173,29922
WC015,DA,42249,25438
WC022,DA,42208,21590
WC023,DA,115089,75062
WC024,DA,79551,49593
WC025,DA,71849,44377
WC026,DA,38275,23637
WC031,DA,48092,28739
WC032,DA,45298,31534
WC033,DA,17632,12624
WC034,ANC,15909,10638
WC041,INDEPENDENT CIVIC ORGANISATION OF SOUTH AFRICA,13088,9307
WC042,DA,27251,20040
WC043,DA,52146,33926
WC044,DA,90601,56414
LIM333,ANC,174746,87144
LIM473,ANC,117870,56468
LIM474,ANC,42435,21699
WC045,DA,47736,29716
WC047,DA,24975,17569
WC048,DA,36332,23702
WC051,DA,4150,3130
WC052,KAROO GEMEENSKAP PARTY,6566,5276
WC053,ANC,23812,15839
CPT,DA,1745853,1125845
EC101,ANC,23164,13545
NC066,ANC,6799,4910
NC067,ANC,6873,4708
NC071,ANC,9169,6388
NC072,ANC,13954,9734
NC073,ANC,22239,13909
NC074,ANC,7055,4869
NC075,ANC,6106,4332
NC076,ANC,8454,5928
ETH,ANC,1666549,986592
NW371,ANC,92703,51046
NW372,ANC,203510,107351
LIM344,ANC,231136,111885
LIM351,ANC,72151,36990
EC102,ANC,17451,10303
EC103,ANC,5729,3628
EC104,ANC,44876,25040
EC105,ANC,32532,21845
EC106,ANC,25366,16408
EC107,DA,9321,6655
EC108,ANC,51435,35113
EC109,ANC,18579,11464
EC121,ANC,113875,64424
EC122,ANC,123140,67206
EC123,ANC,21302,12992
EC124,ANC,63773,36919
EC126,ANC,42100,19652
EC127,ANC,67936,38400
EC128,ANC,12527,7399
EC131,ANC,30238,18006
EC132,ANC,16707,10423
EC133,ANC,10365,6991
EC134,ANC,89443,48833
EC135,ANC,72149,43605
EC136,ANC,58105,36081
EC137,ANC,69485,38144
EC138,ANC,29165,16789
EC141,ANC,58401,32651
EC142,ANC,62646,37172
EC143,ANC,20032,12335
